Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_1","22004","BEGARD","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_10","22254","PRAT","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_100","22358","TREGONNEAU","","GUINGAMP","Collège ""Albert Camus""","2 rue Kerpaour - Grâces","BP 50534","Cedex","22205","22070"
"SECT_101","22065","GOUDELIN","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_102","22070","GUINGAMP","rive droite du Trieux","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_103","22150","MERZER (LE)","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_104","22161","PABU","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_105","22225","PLOUMAGOAR","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_106","22248","POMMERIT-LE-VICOMTE","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_107","22272","SAINT-AGATHON","","GUINGAMP","Collège ""Jacques Prévert""","58 rue de la Trinité","BP 90547","","22205","22070"
"SECT_108","22002","ANDEL","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_109","22044","COETMIEUX","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_11","22310","SAINT-LAURENT","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
